name,new-domain,new-check,new-base,old-domain,old-check,old-base,old-uri,new-uri,old-fullurl,new-fullurl,incoming-uri,redirect-uri
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,common-options,connect-your-storage/create-datasources/common-options,,,en/docs/cells/v4/common-options,cells-v4/admin-guide/connect-your-storage/create-datasources/common-options
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,file-system-storage,connect-your-storage/create-datasources/file-system-storage,,,en/docs/cells/v4/file-system-storage,cells-v4/admin-guide/connect-your-storage/create-datasources/file-system-storage
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,mounts-nas,connect-your-storage/create-datasources/mounts-nas,,,en/docs/cells/v4/mounts-nas,cells-v4/admin-guide/connect-your-storage/create-datasources/mounts-nas
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,s3-compatible-storage,connect-your-storage/create-datasources/s3-compatible-storage,,,en/docs/cells/v4/s3-compatible-storage,cells-v4/admin-guide/connect-your-storage/create-datasources/s3-compatible-storage
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-google-cloud-storage,connect-your-storage/create-datasources/ent-google-cloud-storage,,,en/docs/cells/v4/ent-google-cloud-storage,cells-v4/admin-guide/connect-your-storage/create-datasources/ent-google-cloud-storage
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-azure-blob-storage,connect-your-storage/create-datasources/ent-azure-blob-storage,,,en/docs/cells/v4/ent-azure-blob-storage,cells-v4/admin-guide/connect-your-storage/create-datasources/ent-azure-blob-storage
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,versioning-policies,connect-your-storage/versioning-policies,,,en/docs/cells/v4/versioning-policies,cells-v4/admin-guide/connect-your-storage/versioning-policies
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,encryption,connect-your-storage/encryption,,,en/docs/cells/v4/encryption,cells-v4/admin-guide/connect-your-storage/encryption
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,metadata,connect-your-storage/metadata,,,en/docs/cells/v4/metadata,cells-v4/admin-guide/connect-your-storage/metadata
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-enable-image-video-annotations,connect-your-storage/ent-enable-image-and-video-annotations,,,en/docs/cells/v4/ent-enable-image-video-annotations,cells-v4/admin-guide/connect-your-storage/ent-enable-image-and-video-annotations
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-assign-quotas,connect-your-storage/ent-assign-quotas,,,en/docs/cells/v4/ent-assign-quotas,cells-v4/admin-guide/connect-your-storage/ent-assign-quotas
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-shard-template-path,connect-your-storage/ent-shard-with-template-path,,,en/docs/cells/v4/ent-shard-template-path,cells-v4/admin-guide/connect-your-storage/ent-shard-with-template-path
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,workspaces-cells,secure-your-data/workspaces-cells,,,en/docs/cells/v4/workspaces-cells,cells-v4/admin-guide/secure-your-data/workspaces-cells
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,role-based-access-control,secure-your-data/role-based-access-control,,,en/docs/cells/v4/role-based-access-control,cells-v4/admin-guide/secure-your-data/role-based-access-control
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,using-security-policies,secure-your-data/ent-dynamic-access-control/using-security-policies,,,en/docs/cells/v4/using-security-policies,cells-v4/admin-guide/secure-your-data/ent-dynamic-access-control/using-security-policies
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,rules-conditions,secure-your-data/ent-dynamic-access-control/rules-conditions,,,en/docs/cells/v4/rules-conditions,cells-v4/admin-guide/secure-your-data/ent-dynamic-access-control/rules-conditions
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-password-complexity,secure-your-data/ent-hardening-security/ent-password-complexity,,,en/docs/cells/v4/ent-password-complexity,cells-v4/admin-guide/secure-your-data/ent-hardening-security/ent-password-complexity
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-multi-factor-authentication,secure-your-data/ent-hardening-security/ent-multi-factor-authentication,,,en/docs/cells/v4/ent-multi-factor-authentication,cells-v4/admin-guide/secure-your-data/ent-hardening-security/ent-multi-factor-authentication
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-ip-ban,secure-your-data/ent-hardening-security/ent-ip-ban,,,en/docs/cells/v4/ent-ip-ban,cells-v4/admin-guide/secure-your-data/ent-hardening-security/ent-ip-ban
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-viewing-exporting-audit-logs,secure-your-data/ent-audits-compliance/ent-viewing-and-exporting-audit-logs,,,en/docs/cells/v4/ent-viewing-exporting-audit-logs,cells-v4/admin-guide/secure-your-data/ent-audits-compliance/ent-viewing-and-exporting-audit-logs
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-visualize-shared-resources,secure-your-data/ent-audits-compliance/ent-visualize-shared-resources,,,en/docs/cells/v4/ent-visualize-shared-resources,cells-v4/admin-guide/secure-your-data/ent-audits-compliance/ent-visualize-shared-resources
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-explore-storage-usage,secure-your-data/ent-audits-compliance/ent-explore-storage-usage,,,en/docs/cells/v4/ent-explore-storage-usage,cells-v4/admin-guide/secure-your-data/ent-audits-compliance/ent-explore-storage-usage
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-adding-terms-service,secure-your-data/ent-audits-compliance/ent-adding-terms-of-service,,,en/docs/cells/v4/ent-adding-terms-service,cells-v4/admin-guide/secure-your-data/ent-audits-compliance/ent-adding-terms-of-service
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ux-actions-parameters,secure-your-data/ux-actions-parameters,,,en/docs/cells/v4/ux-actions-parameters,cells-v4/admin-guide/secure-your-data/ux-actions-parameters
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-logos-wording,customize-interface/ent-logos-and-wording,,,en/docs/cells/v4/ent-logos-wording,cells-v4/admin-guide/customize-interface/ent-logos-and-wording
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-brand-theme,customize-interface/ent-brand-theme,,,en/docs/cells/v4/ent-brand-theme,cells-v4/admin-guide/customize-interface/ent-brand-theme
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-email-templates,customize-interface/ent-email-templates,,,en/docs/cells/v4/ent-email-templates,cells-v4/admin-guide/customize-interface/ent-email-templates
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-easytransfer-layout,customize-interface/ent-easytransfer-layout,,,en/docs/cells/v4/ent-easytransfer-layout,cells-v4/admin-guide/customize-interface/ent-easytransfer-layout
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,ent-using-smartform,customize-interface/ent-using-smartform,,,en/docs/cells/v4/ent-using-smartform,cells-v4/admin-guide/customize-interface/ent-using-smartform
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,migrate-pydio-8-cells,advanced/migrate-pydio-8-to-cells,,,en/docs/cells/v4/migrate-pydio-8-cells,cells-v4/admin-guide/advanced/migrate-pydio-8-to-cells
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,scheduler-cells-flows,advanced/scheduler-cells-flows,,,en/docs/cells/v4/scheduler-cells-flows,cells-v4/admin-guide/advanced/scheduler-cells-flows
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,yamljson-installation,advanced/yaml-json-installation,,,en/docs/cells/v4/yamljson-installation,cells-v4/admin-guide/advanced/yaml-json-installation
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,pydio-cells-internals,advanced/pydio-cells-internals,,,en/docs/cells/v4/pydio-cells-internals,cells-v4/admin-guide/advanced/pydio-cells-internals
cells-v4,https://pydio.github.io/docs,200,admin-guide,https://pydio.com,200,en/docs/cells/v4,advanced-configurations,advanced/advanced-configurations,,,en/docs/cells/v4/advanced-configurations,cells-v4/admin-guide/advanced/advanced-configurations
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,introduction-cells-flows,cells-flows-manual/introduction-to-cells-flows,,,en/docs/cells-flows/introduction-cells-flows,cells-v4/cellsflows/cells-flows-manual/introduction-to-cells-flows
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,actions-messages,cells-flows-manual/anatomy-of-a-flow/actions-and-messages,,,en/docs/cells-flows/actions-messages,cells-v4/cellsflows/cells-flows-manual/anatomy-of-a-flow/actions-and-messages
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,data-types-queries-filters,cells-flows-manual/anatomy-of-a-flow/data-types-queries-filters,,,en/docs/cells-flows/data-types-queries-filters,cells-v4/cellsflows/cells-flows-manual/anatomy-of-a-flow/data-types-queries-filters
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,triggers,cells-flows-manual/anatomy-of-a-flow/triggers,,,en/docs/cells-flows/triggers,cells-v4/cellsflows/cells-flows-manual/anatomy-of-a-flow/triggers
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,parameters,cells-flows-manual/anatomy-of-a-flow/parameters,,,en/docs/cells-flows/parameters,cells-v4/cellsflows/cells-flows-manual/anatomy-of-a-flow/parameters
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,tasks-logs,cells-flows-manual/anatomy-of-a-flow/tasks-logs,,,en/docs/cells-flows/tasks-logs,cells-v4/cellsflows/cells-flows-manual/anatomy-of-a-flow/tasks-logs
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,demo-simple-flow-video,cells-flows-manual/demo-of-a-simple-flow-video,,,en/docs/cells-flows/demo-simple-flow-video,cells-v4/cellsflows/cells-flows-manual/demo-of-a-simple-flow-video
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,business-requirements,cells-flows-manual/building-your-own-flows/business-requirements,,,en/docs/cells-flows/business-requirements,cells-v4/cellsflows/cells-flows-manual/building-your-own-flows/business-requirements
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,debugging-tools,cells-flows-manual/building-your-own-flows/debugging-tools,,,en/docs/cells-flows/debugging-tools,cells-v4/cellsflows/cells-flows-manual/building-your-own-flows/debugging-tools
cells-v4,https://pydio.github.io/docs,200,cellsflows,https://pydio.com,200,en/docs/cells-flows,parallelism-concurrency,cells-flows-manual/building-your-own-flows/parallelism-and-concurrency,,,en/docs/cells-flows/parallelism-concurrency,cells-v4/cellsflows/cells-flows-manual/building-your-own-flows/parallelism-and-concurrency
